locus_tag,term_id,term_name
PMM0001,ec:2.7.7.7,DNA-directed DNA polymerase
PMM0003,ec:6.3.5.3,phosphoribosylformylglycinamidine synthase
PMM0004,ec:2.4.2.14,amidophosphoribosyltransferase
PMM0005,ec:5.6.2.2,DNA topoisomerase (ATP-hydrolyzing)
PMM0007,ec:1.17.99.6,epoxyqueuosine reductase
PMM0010,ec:3.6.5.4,signal-recognition-particle GTPase
PMM0011,ec:3.1.3.16,protein-serine/threonine phosphatase
PMM0011,ec:3.1.3.3,phosphoserine phosphatase
PMM0012,ec:4.3.2.1,argininosuccinate lyase
PMM0014,ec:1.3.1.91,tRNA-dihydrouridine(20) synthase [NAD(P)(+)]
PMM0015,ec:1.8.4.12,peptide-methionine (R)-S-oxide reductase
PMM0018,ec:1.8.7.1,assimilatory sulfite reductase (ferredoxin)
PMM0019,ec:3.1.3.100,thiamine phosphate phosphatase
PMM0019,ec:3.6.1.-,In phosphorus-containing anhydrides
PMM0021,ec:1.3.1.98,UDP-N-acetylmuramate dehydrogenase
PMM0022,ec:6.3.2.8,UDP-N-acetylmuramate--L-alanine ligase
PMM0023,ec:1.2.1.59,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
PMM0024,ec:2.7.4.16,thiamine-phosphate kinase
PMM0025,ec:5.2.1.8,peptidylprolyl isomerase
PMM0027,ec:6.4.1.2,acetyl-CoA carboxylase
PMM0028,ec:1.1.1.262,4-hydroxythreonine-4-phosphate dehydrogenase
PMM0029,ec:1.-.-.-,Oxidoreductases
PMM0035,ec:1.12.1.2,hydrogen dehydrogenase
PMM0035,ec:2.6.1.52,phosphoserine transaminase
PMM0036,ec:2.1.1.195,cobalt-precorrin-5B (C(1))-methyltransferase
PMM0037,ec:6.3.5.2,GMP synthase (glutamine-hydrolyzing)
PMM0040,ec:3.4.16.4,serine-type D-Ala-D-Ala carboxypeptidase
PMM0041,ec:1.-.-.-,Oxidoreductases
PMM0043,ec:1.-.-.-,Oxidoreductases
PMM0044,ec:6.1.1.7,alanine--tRNA ligase
PMM0045,ec:4.1.1.19,arginine decarboxylase
PMM0046,ec:2.7.4.6,nucleoside-diphosphate kinase
PMM0047,ec:1.4.3.19,glycine oxidase
PMM0047,ec:2.8.1.10,thiazole synthase
PMM0048,ec:6.3.5.6,asparaginyl-tRNA synthase (glutamine-hydrolyzing)
PMM0048,ec:6.3.5.7,glutaminyl-tRNA synthase (glutamine-hydrolyzing)
PMM0049,ec:2.7.1.24,dephospho-CoA kinase
PMM0050,ec:2.3.1.1,amino-acid N-acetyltransferase
PMM0050,ec:2.3.1.35,glutamate N-acetyltransferase
PMM0052,ec:1.1.1.65,pyridoxine 4-dehydrogenase
PMM0053,ec:2.1.1.-,Methyltransferases
PMM0059,ec:2.4.1.182,lipid-A-disaccharide synthase
PMM0060,ec:6.3.4.14,biotin carboxylase
PMM0060,ec:6.4.1.2,acetyl-CoA carboxylase
PMM0065,ec:7.-.-.-,Translocases
PMM0068,ec:3.5.1.88,peptide deformylase
PMM0069,ec:3.-.-.-,Hydrolases
PMM0070,ec:2.8.1.7,cysteine desulfurase
PMM0070,ec:4.4.1.16,selenocysteine lyase
PMM0076,ec:5.4.2.2,"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)"
PMM0078,ec:2.7.8.7,holo-[acyl-carrier-protein] synthase
PMM0079,ec:1.11.1.15,and 1.11.1.29
PMM0079,ec:1.11.1.24,thioredoxin-dependent peroxiredoxin
PMM0080,ec:2.7.1.33,pantothenate kinase
PMM0081,ec:1.8.4.10,adenylyl-sulfate reductase (thioredoxin)
PMM0081,ec:1.8.4.8,phosphoadenylyl-sulfate reductase (thioredoxin)
PMM0082,ec:1.6.-.-,Acting on NADH or NADPH
PMM0090,ec:3.4.21.-,Serine endopeptidases
PMM0096,ec:3.1.3.25,inositol-phosphate phosphatase
PMM0100,ec:1.4.3.16,L-aspartate oxidase
PMM0101,ec:1.17.4.-,With a disulfide as acceptor
PMM0102,ec:2.8.4.4,[ribosomal protein uS12] (aspartate(89)-C(3))-methylthiotransferase
PMM0104,ec:2.3.1.-,Transferring groups other than amino-acyl groups
PMM0105,ec:1.-.-.-,Oxidoreductases
PMM0105,ec:1.1.1.193,5-amino-6-(5-phosphoribosylamino)uracil reductase
PMM0106,ec:4.1.2.50,6-carboxytetrahydropterin synthase
PMM0106,ec:4.2.3.12,6-pyruvoyltetrahydropterin synthase
PMM0107,ec:2.7.1.71,shikimate kinase
PMM0110,ec:2.5.1.18,glutathione transferase
PMM0113,ec:2.1.1.107,uroporphyrinogen-III C-methyltransferase
PMM0113,ec:4.2.1.75,uroporphyrinogen-III synthase
PMM0115,ec:1.3.5.6,"9,9^-di-cis-zeta-carotene desaturase"
PMM0121,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0123,ec:2.5.1.47,cysteine synthase
PMM0125,ec:3.6.3.-,Acting on acid anhydrides; catalyzing transmembrane movement of substances
PMM0125,ec:7.5.2.-,Linked to the hydrolysis of a nucleoside triphosphate
PMM0129,ec:2.7.7.7,DNA-directed DNA polymerase
PMM0130,ec:2.7.4.9,dTMP kinase
PMM0131,ec:7.2.2.9,P-type Cu(2+) transporter
PMM0135,ec:2.3.1.15,glycerol-3-phosphate 1-O-acyltransferase
PMM0135,ec:2.3.1.274,phosphate acyltransferase
PMM0136,ec:2.3.1.180,beta-ketoacyl-[acyl-carrier-protein] synthase III
PMM0137,ec:2.3.1.39,[acyl-carrier-protein] S-malonyltransferase
PMM0138,ec:2.3.1.51,1-acylglycerol-3-phosphate O-acyltransferase
PMM0141,ec:2.7.7.19,polynucleotide adenylyltransferase
PMM0141,ec:2.7.7.72,CCA tRNA nucleotidyltransferase
PMM0141,ec:3.1.3.-,Phosphoric monoester hydrolases
PMM0141,ec:3.1.4.-,Phosphoric diester hydrolases
PMM0143,ec:2.5.1.32,15-cis-phytoene synthase
PMM0144,ec:1.3.5.5,15-cis-phytoene desaturase
PMM0145,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0145,ec:7.1.1.2,NADH:ubiquinone reductase (H(+)-translocating)
PMM0148,ec:5.2.1.12,zeta-carotene isomerase
PMM0149,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0149,ec:7.1.1.2,NADH:ubiquinone reductase (H(+)-translocating)
PMM0150,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0150,ec:7.1.1.2,NADH:ubiquinone reductase (H(+)-translocating)
PMM0152,ec:2.7.7.13,mannose-1-phosphate guanylyltransferase
PMM0152,ec:2.7.7.9,UTP--glucose-1-phosphate uridylyltransferase
PMM0152,ec:5.4.2.8,phosphomannomutase
PMM0153,ec:1.5.1.20,methylenetetrahydrofolate reductase [NAD(P)H]
PMM0155,ec:4.6.1.1,adenylate cyclase
PMM0156,ec:2.7.1.23,NAD(+) kinase
PMM0157,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0157,ec:7.1.1.2,NADH:ubiquinone reductase (H(+)-translocating)
PMM0158,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0158,ec:7.1.1.2,NADH:ubiquinone reductase (H(+)-translocating)
PMM0159,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0159,ec:7.1.1.2,NADH:ubiquinone reductase (H(+)-translocating)
PMM0160,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0160,ec:7.1.1.2,NADH:ubiquinone reductase (H(+)-translocating)
PMM0161,ec:2.3.3.1,citrate (Si)-synthase
PMM0164,ec:4.2.1.20,tryptophan synthase
PMM0166,ec:2.7.1.25,adenylyl-sulfate kinase
PMM0167,ec:4.1.1.21,phosphoribosylaminoimidazole carboxylase
PMM0167,ec:5.4.99.18,5-(carboxyamino)imidazole ribonucleotide mutase
PMM0168,ec:2.1.1.11,magnesium protoporphyrin IX methyltransferase
PMM0170,ec:2.8.1.7,cysteine desulfurase
PMM0171,ec:2.1.1.199,16S rRNA (cytosine(1402)-N(4))-methyltransferase
PMM0172,ec:1.6.5.9,NADH:ubiquinone reductase (non-electrogenic)
PMM0172,ec:7.1.1.2,NADH:ubiquinone reductase (H(+)-translocating)
PMM0173,ec:3.1.2.28,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"
PMM0174,ec:6.2.1.26,o-succinylbenzoate--CoA ligase
PMM0175,ec:4.2.1.113,o-succinylbenzoate synthase
PMM0176,ec:2.5.1.130,"2-carboxy-1,4-naphthoquinone phytyltransferase"
PMM0176,ec:2.5.1.74,"1,4-dihydroxy-2-naphthoate polyprenyltransferase"
PMM0177,ec:5.4.4.2,isochorismate synthase
PMM0178,ec:6.3.2.3,glutathione synthase
PMM0183,ec:2.7.1.107,diacylglycerol kinase (ATP)
PMM0184,ec:2.6.1.85,aminodeoxychorismate synthase
PMM0184,ec:4.1.3.27,anthranilate synthase
PMM0184,ec:4.1.3.38,aminodeoxychorismate lyase
PMM0185,ec:3.-.-.-,Hydrolases
PMM0186,ec:2.6.1.9,histidinol-phosphate transaminase
PMM0187,ec:6.1.1.19,arginine--tRNA ligase
PMM0188,ec:2.4.2.19,nicotinate-nucleotide diphosphorylase (carboxylating)
PMM0189,ec:3.6.-.-,Acting on acid anhydrides
PMM0191,ec:2.7.6.5,GTP diphosphokinase
PMM0191,ec:3.1.7.2,"guanosine-3^,5^-bis(diphosphate) 3^-diphosphatase"
PMM0192,ec:7.2.2.11,ABC-type Ni(2+) transporter
PMM0193,ec:5.4.99.23,23S rRNA pseudouridine(1911/1915/1917) synthase
PMM0195,ec:2.7.2.3,phosphoglycerate kinase
PMM0197,ec:2.4.1.227,acetylglucosaminyltransferase
PMM0198,ec:2.6.1.-,Transaminases
PMM0199,ec:1.3.5.2,dihydroorotate dehydrogenase (quinone)
PMM0200,ec:3.1.26.4,ribonuclease H
PMM0208,ec:4.2.1.11,phosphopyruvate hydratase
PMM0209,ec:2.7.-.-,Transferring phosphorus-containing groups
PMM0211,ec:1.-.-.-,Oxidoreductases
PMM0211,ec:1.8.1.9,thioredoxin-disulfide reductase (NADPH)
PMM0215,ec:4.2.1.24,porphobilinogen synthase
PMM0217,ec:3.1.-.-,Acting on ester bonds
PMM0217,ec:3.6.4.-,Acting on ATP; involved in cellular and subcellular movement
PMM0218,ec:3.6.5.-,Acting on GTP; involved in cellular and subcellular movement
PMM0221,ec:1.8.5.7,glutathionyl-hydroquinone reductase
PMM0222,ec:3.5.1.15,aspartoacylase
PMM0223,ec:1.10.3.9,photosystem II
PMM0224,ec:4.2.3.5,chorismate synthase
PMM0225,ec:4.1.2.14,2-dehydro-3-deoxy-phosphogluconate aldolase
PMM0225,ec:4.1.3.42,(4S)-4-hydroxy-2-oxoglutarate aldolase
PMM0226,ec:3.4.24.-,Metalloendopeptidases
PMM0227,ec:2.7.7.4,sulfate adenylyltransferase
PMM0229,ec:4.1.1.36,phosphopantothenoylcysteine decarboxylase
PMM0229,ec:6.3.2.5,phosphopantothenate--cysteine ligase (CTP)
PMM0233,ec:2.1.3.2,aspartate carbamoyltransferase
PMM0234,ec:3.2.2.21,DNA-3-methyladenine glycosylase II
PMM0235,ec:6.3.5.6,asparaginyl-tRNA synthase (glutamine-hydrolyzing)
PMM0235,ec:6.3.5.7,glutaminyl-tRNA synthase (glutamine-hydrolyzing)
PMM0236,ec:1.14.19.-,With oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
PMM0238,ec:6.1.1.5,isoleucine--tRNA ligase
PMM0240,ec:2.1.1.33,tRNA (guanine(46)-N(7))-methyltransferase
PMM0241,ec:5.4.2.10,phosphoglucosamine mutase
PMM0243,ec:2.1.1.148,thymidylate synthase (FAD)
PMM0244,ec:3.5.4.13,dCTP deaminase
PMM0245,ec:2.5.1.17,corrinoid adenosyltransferase
PMM0245,ec:5.3.1.24,phosphoribosylanthranilate isomerase
PMM0250,ec:3.1.1.29,peptidyl-tRNA hydrolase
PMM0255,ec:4.2.1.33,3-isopropylmalate dehydratase
PMM0255,ec:4.2.1.35,(R)-2-methylmalate dehydratase
PMM0256,ec:4.2.1.33,3-isopropylmalate dehydratase
PMM0256,ec:4.2.1.35,(R)-2-methylmalate dehydratase
PMM0257,ec:3.5.1.42,nicotinamide-nucleotide amidase
PMM0258,ec:2.1.2.1,glycine hydroxymethyltransferase
PMM0264,ec:1.17.7.4,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PMM0266,ec:2.1.2.3,phosphoribosylaminoimidazolecarboxamide formyltransferase
PMM0266,ec:3.5.4.10,IMP cyclohydrolase
PMM0267,ec:3.-.-.-,Hydrolases
PMM0269,ec:2.7.13.3,histidine kinase
PMM0270,ec:2.7.8.26,adenosylcobinamide-GDP ribazoletransferase
PMM0271,ec:2.4.2.29,tRNA-guanosine(34) preQ1 transglycosylase
PMM0275,ec:2.4.2.10,orotate phosphoribosyltransferase
