locus_tag,term_id,term_name
PMM0804,go:0005737,cytoplasm
PMM0808,go:0005737,cytoplasm
PMM0815,go:0016020,membrane
PMM0816,go:0016020,membrane
PMM0817,go:0016020,membrane
PMM0818,go:0016020,membrane
PMM0823,go:0005737,cytoplasm
PMM0825,go:0005575,cellular_component
PMM0825,go:0005951,carbamoyl-phosphate synthase complex
PMM0827,go:0055052,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
PMM0829,go:0005575,cellular_component
PMM0829,go:0005829,cytosol
PMM0830,go:0005575,cellular_component
PMM0830,go:0005829,cytosol
PMM0831,go:0010007,magnesium chelatase complex
PMM0832,go:0005575,cellular_component
PMM0832,go:0005829,cytosol
PMM0839,go:0005737,cytoplasm
PMM0840,go:0016020,membrane
PMM0841,go:0005737,cytoplasm
PMM0842,go:0005829,cytosol
PMM0843,go:0005575,cellular_component
PMM0843,go:0005829,cytosol
PMM0846,go:0016020,membrane
PMM0848,go:0016020,membrane
PMM0849,go:0016020,membrane
PMM0853,go:0000315,organellar large ribosomal subunit
PMM0853,go:0005840,ribosome
PMM0853,go:0022625,cytosolic large ribosomal subunit
PMM0854,go:0009523,photosystem II
PMM0854,go:0016020,membrane
PMM0854,go:0031676,plasma membrane-derived thylakoid membrane
PMM0862,go:0005737,cytoplasm
PMM0866,go:0005886,plasma membrane
PMM0867,go:0005737,cytoplasm
PMM0868,go:0000178,exosome (RNase complex)
PMM0868,go:0000932,P-body
PMM0868,go:1990904,ribonucleoprotein complex
PMM0869,go:0000314,organellar small ribosomal subunit
PMM0869,go:0022627,cytosolic small ribosomal subunit
PMM0870,go:0005840,ribosome
PMM0870,go:0022625,cytosolic large ribosomal subunit
PMM0871,go:0009328,phenylalanine-tRNA ligase complex
PMM0875,go:0005575,cellular_component
PMM0877,go:0005575,cellular_component
PMM0877,go:0005829,cytosol
PMM0882,go:0005622,intracellular anatomical structure
PMM0882,go:0009380,excinuclease repair complex
PMM0888,go:0005575,cellular_component
PMM0888,go:0005829,cytosol
PMM0889,go:0005575,cellular_component
PMM0889,go:0005829,cytosol
PMM0890,go:0005575,cellular_component
PMM0890,go:0005737,cytoplasm
PMM0891,go:0005829,cytosol
PMM0892,go:0005737,cytoplasm
PMM0893,go:0005829,cytosol
PMM0900,go:0005737,cytoplasm
PMM0902,go:0022625,cytosolic large ribosomal subunit
PMM0903,go:0005829,cytosol
PMM0906,go:0009538,photosystem I reaction center
PMM0906,go:0030094,plasma membrane-derived photosystem I
PMM0906,go:0042651,thylakoid membrane
PMM0907,go:0005737,cytoplasm
PMM0910,go:0016020,membrane
PMM0912,go:0005575,cellular_component
PMM0912,go:0005829,cytosol
PMM0913,go:0005886,plasma membrane
PMM0914,go:0005886,plasma membrane
PMM0915,go:0005886,plasma membrane
PMM0916,go:0005829,cytosol
PMM0916,go:0016020,membrane
PMM0917,go:0005737,cytoplasm
PMM0920,go:0005737,cytoplasm
PMM0920,go:0016020,membrane
PMM0926,go:0009538,photosystem I reaction center
PMM0926,go:0030096,plasma membrane-derived thylakoid photosystem II
PMM0927,go:0016020,membrane
PMM0928,go:0005575,cellular_component
PMM0928,go:0005886,plasma membrane
PMM0928,go:0031522,cell envelope Sec protein transport complex
PMM0929,go:0005575,cellular_component
PMM0929,go:0005886,plasma membrane
PMM0929,go:0031522,cell envelope Sec protein transport complex
PMM0933,go:0005575,cellular_component
PMM0933,go:0005737,cytoplasm
PMM0935,go:0005737,cytoplasm
PMM0937,go:0005829,cytosol
PMM0939,go:0000428,DNA-directed RNA polymerase complex
PMM0939,go:0005737,cytoplasm
PMM0939,go:1990077,primosome complex
PMM0940,go:0016020,membrane
PMM0941,go:0019867,outer membrane
PMM0942,go:0009379,Holliday junction helicase complex
PMM0942,go:0048476,Holliday junction resolvase complex
PMM0943,go:0022627,cytosolic small ribosomal subunit
PMM0944,go:0016020,membrane
PMM0945,go:0005737,cytoplasm
PMM0946,go:0030956,glutamyl-tRNA(Gln) amidotransferase complex
PMM0948,go:0005575,cellular_component
PMM0948,go:0005829,cytosol
PMM0949,go:0005737,cytoplasm
PMM0951,go:0005951,carbamoyl-phosphate synthase complex
PMM0954,go:0005886,plasma membrane
PMM0954,go:0055052,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
PMM0955,go:0005737,cytoplasm
PMM0956,go:0016020,membrane
PMM0956,go:0030288,outer membrane-bounded periplasmic space
PMM0960,go:0005829,cytosol
PMM0963,go:0005737,cytoplasm
PMM0964,go:0035550,urease complex
PMM0965,go:0005737,cytoplasm
PMM0970,go:0016020,membrane
PMM0970,go:0030288,outer membrane-bounded periplasmic space
PMM0970,go:0055052,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
PMM0971,go:0005886,plasma membrane
PMM0972,go:0005886,plasma membrane
PMM0972,go:0055052,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
PMM0973,go:0009898,cytoplasmic side of plasma membrane
PMM0973,go:0055052,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
PMM0974,go:0009898,cytoplasmic side of plasma membrane
PMM0974,go:0055052,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
PMM0976,go:0043190,ATP-binding cassette (ABC) transporter complex
PMM0977,go:0016020,membrane
PMM0977,go:0043190,ATP-binding cassette (ABC) transporter complex
PMM0978,go:0016020,membrane
PMM0978,go:0043190,ATP-binding cassette (ABC) transporter complex
PMM0981,go:0005886,plasma membrane
PMM0987,go:0005840,ribosome
PMM0987,go:0022627,cytosolic small ribosomal subunit
PMM0997,go:0016020,membrane
PMM1015,go:0016020,membrane
PMM1029,go:0016020,membrane
PMM1029,go:0043190,ATP-binding cassette (ABC) transporter complex
PMM1032,go:0030313,cell envelope
PMM1033,go:0005737,cytoplasm
PMM1040,go:0009539,photosystem II reaction center
PMM1046,go:0005886,plasma membrane
PMM1048,go:0005886,plasma membrane
PMM1049,go:0030313,cell envelope
PMM1049,go:0042597,periplasmic space
PMM1049,go:0043190,ATP-binding cassette (ABC) transporter complex
PMM1054,go:0005622,intracellular anatomical structure
PMM1054,go:0009379,Holliday junction helicase complex
PMM1054,go:0032991,protein-containing complex
PMM1054,go:0048476,Holliday junction resolvase complex
PMM1055,go:0010007,magnesium chelatase complex
PMM1058,go:0009512,cytochrome b6f complex
PMM1058,go:0009535,chloroplast thylakoid membrane
PMM1060,go:0009382,imidazoleglycerol-phosphate synthase complex
PMM1061,go:0005575,cellular_component
PMM1061,go:0005737,cytoplasm
PMM1063,go:0005694,chromosome
PMM1063,go:0005737,cytoplasm
PMM1063,go:0009330,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex"
PMM1065,go:0005576,extracellular region
PMM1068,go:0016020,membrane
PMM1069,go:0005575,cellular_component
PMM1069,go:0005829,cytosol
PMM1070,go:0005737,cytoplasm
PMM1072,go:0005737,cytoplasm
PMM1074,go:0005829,cytosol
PMM1075,go:0005575,cellular_component
PMM1075,go:0005622,intracellular anatomical structure
PMM1075,go:0030089,phycobilisome
PMM1075,go:0031676,plasma membrane-derived thylakoid membrane
PMM1080,go:0009507,chloroplast
PMM1085,go:0016020,membrane
PMM1088,go:0005737,cytoplasm
PMM1092,go:0005575,cellular_component
PMM1092,go:0005829,cytosol
PMM1096,go:0005575,cellular_component
PMM1096,go:0005737,cytoplasm
PMM1098,go:0009654,photosystem II oxygen evolving complex
PMM1098,go:0019898,extrinsic component of membrane
PMM1099,go:0005886,plasma membrane
PMM1099,go:0055052,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
PMM1101,go:0005829,cytosol
PMM1103,go:0005829,cytosol
PMM1103,go:0009338,exodeoxyribonuclease V complex
PMM1104,go:0012505,endomembrane system
PMM1105,go:0009338,exodeoxyribonuclease V complex
PMM1107,go:0005575,cellular_component
PMM1107,go:0005829,cytosol
PMM1108,go:0016020,membrane
PMM1110,go:1990229,iron-sulfur cluster assembly complex
PMM1113,go:0005829,cytosol
PMM1113,go:0032993,protein-DNA complex
PMM1116,go:0005575,cellular_component
PMM1116,go:0005829,cytosol
PMM1117,go:0009523,photosystem II
PMM1118,go:0016020,membrane
PMM1119,go:0009279,cell outer membrane
PMM1120,go:0016020,membrane
PMM1121,go:0009279,cell outer membrane
PMM1122,go:0005737,cytoplasm
PMM1123,go:0016020,membrane
PMM1124,go:0016020,membrane
PMM1126,go:0005886,plasma membrane
PMM1128,go:0016020,membrane
PMM1135,go:0016020,membrane
PMM1136,go:0016020,membrane
PMM1138,go:0005737,cytoplasm
PMM1139,go:0016020,membrane
PMM1139,go:1990281,efflux pump complex
PMM1140,go:0005575,cellular_component
PMM1140,go:0005737,cytoplasm
PMM1141,go:0005575,cellular_component
PMM1141,go:0005829,cytosol
PMM1142,go:0005737,cytoplasm
PMM1145,go:0005886,plasma membrane
PMM1146,go:0005886,plasma membrane
PMM1147,go:0005886,plasma membrane
PMM1150,go:0005737,cytoplasm
PMM1151,go:0005829,cytosol
PMM1152,go:0009523,photosystem II
PMM1152a,go:0009512,cytochrome b6f complex
PMM1154,go:0005829,cytosol
PMM1154,go:0005948,acetolactate synthase complex
PMM1156,go:0009522,photosystem I
PMM1156,go:0009579,thylakoid
PMM1157,go:0009539,photosystem II reaction center
PMM1157,go:0016020,membrane
PMM1157,go:0031676,plasma membrane-derived thylakoid membrane
PMM1158,go:0009539,photosystem II reaction center
PMM1158,go:0030096,plasma membrane-derived thylakoid photosystem II
PMM1158,go:0031676,plasma membrane-derived thylakoid membrane
PMM1159,go:0005737,cytoplasm
PMM1159,go:0030428,cell septum
PMM1164,go:0005575,cellular_component
PMM1164,go:0005886,plasma membrane
PMM1164,go:0030288,outer membrane-bounded periplasmic space
PMM1164,go:0042651,thylakoid membrane
PMM1165,go:0009345,glycine-tRNA ligase complex
PMM1167,go:0005615,extracellular space
PMM1173,go:0016020,membrane
PMM1175,go:0005886,plasma membrane
PMM1177,go:0005886,plasma membrane
PMM1179,go:0016020,membrane
PMM1183,go:0000315,organellar large ribosomal subunit
PMM1183,go:0005840,ribosome
PMM1183,go:0022625,cytosolic large ribosomal subunit
PMM1188,go:0005737,cytoplasm
PMM1189,go:0016020,membrane
PMM1190,go:0005737,cytoplasm
PMM1190,go:0022627,cytosolic small ribosomal subunit
PMM1193,go:0005737,cytoplasm
PMM1194,go:0016020,membrane
PMM1197,go:0005886,plasma membrane
PMM1199,go:0016020,membrane
PMM1200,go:0005886,plasma membrane
PMM1206,go:0005886,plasma membrane
PMM1209,go:0005829,cytosol
PMM1211,go:0016020,membrane
PMM1214,go:0005737,cytoplasm
PMM1215,go:0005737,cytoplasm
PMM1218,go:0005829,cytosol
PMM1224,go:0016020,membrane
PMM1226,go:0016020,membrane
PMM1227,go:0005886,plasma membrane
PMM1239,go:0005886,plasma membrane
PMM1239,go:0055052,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
PMM1250,go:0016020,membrane
PMM1252,go:0031470,carboxysome
PMM1260,go:0005737,cytoplasm
PMM1262,go:0032993,protein-DNA complex
PMM1263,go:0005575,cellular_component
PMM1263,go:0005737,cytoplasm
PMM1264,go:0016020,membrane
PMM1264,go:0031676,plasma membrane-derived thylakoid membrane
PMM1270,go:0009328,phenylalanine-tRNA ligase complex
PMM1271,go:0005737,cytoplasm
PMM1272,go:0016020,membrane
PMM1273,go:0005737,cytoplasm
PMM1274,go:0005575,cellular_component
PMM1274,go:0005737,cytoplasm
PMM1280,go:0005829,cytosol
PMM1281,go:0005829,cytosol
PMM1281,go:0005886,plasma membrane
PMM1283,go:0005886,plasma membrane
PMM1284,go:0005829,cytosol
PMM1285,go:0000314,organellar small ribosomal subunit
PMM1285,go:0005737,cytoplasm
PMM1285,go:0022627,cytosolic small ribosomal subunit
PMM1286,go:0048501,"signal recognition particle, plasma membrane targeting"
