locus_tag,term_id,term_name
PMM0093,go:0009644,response to high light intensity
PMM0096,go:0006020,inositol metabolic process
PMM0096,go:0007165,signal transduction
PMM0097,go:0055085,transmembrane transport
PMM0100,go:0019363,pyridine nucleotide biosynthetic process
PMM0100,go:0034628,^de novo^ NAD+ biosynthetic process from L-aspartate
PMM0101,go:0006457,protein folding
PMM0101,go:0045454,cell redox homeostasis
PMM0101,go:0071236,cellular response to antibiotic
PMM0102,go:0006400,tRNA modification
PMM0102,go:0018339,peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
PMM0105,go:0009231,riboflavin biosynthetic process
PMM0106,go:0008616,tRNA queuosine(34) biosynthetic process
PMM0107,go:0008652,amino acid biosynthetic process
PMM0107,go:0009073,aromatic amino acid family biosynthetic process
PMM0107,go:0009423,chorismate biosynthetic process
PMM0110,go:0006559,L-phenylalanine catabolic process
PMM0110,go:0006749,glutathione metabolic process
PMM0112,go:0006974,DNA damage response
PMM0112,go:0009409,response to cold
PMM0112,go:0030490,maturation of SSU-rRNA
PMM0113,go:0006780,uroporphyrinogen III biosynthetic process
PMM0113,go:0006782,protoporphyrinogen IX biosynthetic process
PMM0113,go:0033014,tetrapyrrole biosynthetic process
PMM0115,go:0016117,carotenoid biosynthetic process
PMM0116,go:0006790,sulfur compound metabolic process
PMM0116,go:0016226,iron-sulfur cluster assembly
PMM0116,go:0050821,protein stabilization
PMM0120,go:0051301,cell division
PMM0121,go:0042773,ATP synthesis coupled electron transport
PMM0122,go:0006457,protein folding
PMM0123,go:0006535,L-cysteine biosynthetic process from L-serine
PMM0128,go:0000160,phosphorelay signal transduction system
PMM0128,go:0006355,regulation of DNA-templated transcription
PMM0128,go:0051301,cell division
PMM0128,go:0097167,circadian regulation of translation
PMM0129,go:0006261,DNA-templated DNA replication
PMM0130,go:0006227,dUDP biosynthetic process
PMM0130,go:0006233,dTDP biosynthetic process
PMM0130,go:0006235,dTTP biosynthetic process
PMM0130,go:0009202,deoxyribonucleoside triphosphate biosynthetic process
PMM0130,go:0015949,nucleobase-containing small molecule interconversion
PMM0130,go:0016310,phosphorylation
PMM0130,go:0046940,nucleoside monophosphate phosphorylation
PMM0131,go:0006825,copper ion transport
PMM0131,go:0030001,metal ion transport
PMM0131,go:0055070,copper ion homeostasis
PMM0133,go:0000725,recombinational repair
PMM0134,go:0000160,phosphorelay signal transduction system
PMM0134,go:0006355,regulation of DNA-templated transcription
PMM0135,go:0006633,fatty acid biosynthetic process
PMM0136,go:0006633,fatty acid biosynthetic process
PMM0137,go:0006633,fatty acid biosynthetic process
PMM0138,go:0006654,phosphatidic acid biosynthetic process
PMM0138,go:0008654,phospholipid biosynthetic process
PMM0141,go:0008033,tRNA processing
PMM0143,go:0016117,carotenoid biosynthetic process
PMM0144,go:0009635,response to herbicide
PMM0144,go:0016117,carotenoid biosynthetic process
PMM0145,go:0042773,ATP synthesis coupled electron transport
PMM0147,go:0006355,regulation of DNA-templated transcription
PMM0148,go:0016120,carotene biosynthetic process
PMM0149,go:0015990,electron transport coupled proton transport
PMM0149,go:0042773,ATP synthesis coupled electron transport
PMM0150,go:0015977,carbon fixation
PMM0150,go:0042773,ATP synthesis coupled electron transport
PMM0152,go:0006011,UDP-alpha-D-glucose metabolic process
PMM0152,go:0006793,phosphorus metabolic process
PMM0152,go:0009058,biosynthetic process
PMM0152,go:0055086,nucleobase-containing small molecule metabolic process
PMM0153,go:0006555,methionine metabolic process
PMM0153,go:0035999,tetrahydrofolate interconversion
PMM0154,go:0000160,phosphorelay signal transduction system
PMM0154,go:0006351,DNA-templated transcription
PMM0154,go:0006355,regulation of DNA-templated transcription
PMM0156,go:0009435,NAD+ biosynthetic process
PMM0157,go:0008150,biological_process
PMM0157,go:0008152,metabolic process
PMM0157,go:0019684,"photosynthesis, light reaction"
PMM0157,go:0042773,ATP synthesis coupled electron transport
PMM0158,go:0042773,ATP synthesis coupled electron transport
PMM0159,go:0042773,ATP synthesis coupled electron transport
PMM0160,go:0042773,ATP synthesis coupled electron transport
PMM0160,go:0045333,cellular respiration
PMM0161,go:0005975,carbohydrate metabolic process
PMM0161,go:0006099,tricarboxylic acid cycle
PMM0164,go:0000162,L-tryptophan biosynthetic process
PMM0164,go:1901607,alpha-amino acid biosynthetic process
PMM0165,go:0001731,formation of translation preinitiation complex
PMM0165,go:0002188,translation reinitiation
PMM0165,go:0006413,translational initiation
PMM0165,go:0006417,regulation of translation
PMM0166,go:0010134,sulfate assimilation via adenylyl sulfate reduction
PMM0166,go:0019379,"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"
PMM0166,go:0070814,hydrogen sulfide biosynthetic process
PMM0167,go:0006189,^de novo^ IMP biosynthetic process
PMM0167,go:0009152,purine ribonucleotide biosynthetic process
PMM0168,go:0015995,chlorophyll biosynthetic process
PMM0168,go:0032259,methylation
PMM0169,go:0000160,phosphorelay signal transduction system
PMM0169,go:0006355,regulation of DNA-templated transcription
PMM0170,go:0006534,cysteine metabolic process
PMM0171,go:0070475,rRNA base methylation
PMM0172,go:0042773,ATP synthesis coupled electron transport
PMM0173,go:0009110,vitamin biosynthetic process
PMM0173,go:0009234,menaquinone biosynthetic process
PMM0173,go:0042372,phylloquinone biosynthetic process
PMM0173,go:1901663,quinone biosynthetic process
PMM0174,go:0042372,phylloquinone biosynthetic process
PMM0175,go:0042372,phylloquinone biosynthetic process
PMM0176,go:0006744,ubiquinone biosynthetic process
PMM0176,go:0009234,menaquinone biosynthetic process
PMM0176,go:0042372,phylloquinone biosynthetic process
PMM0177,go:0009058,biosynthetic process
PMM0177,go:0009234,menaquinone biosynthetic process
