child_id,parent_id,child_level,parent_level
ec:1.1.-.-,ec:1.-.-.-,1,0
ec:1.1.1.-,ec:1.1.-.-,2,1
ec:1.1.1.1,ec:1.1.1.-,3,2
ec:1.1.1.2,ec:1.1.1.-,3,2
ec:1.1.1.3,ec:1.1.1.-,3,2
ec:1.1.1.4,ec:1.1.1.-,3,2
ec:1.1.1.6,ec:1.1.1.-,3,2
ec:1.1.1.7,ec:1.1.1.-,3,2
ec:1.1.1.8,ec:1.1.1.-,3,2
ec:1.1.1.9,ec:1.1.1.-,3,2
ec:1.1.1.10,ec:1.1.1.-,3,2
ec:1.1.1.11,ec:1.1.1.-,3,2
ec:1.1.1.12,ec:1.1.1.-,3,2
ec:1.1.1.13,ec:1.1.1.-,3,2
ec:1.1.1.14,ec:1.1.1.-,3,2
ec:1.1.1.15,ec:1.1.1.-,3,2
ec:1.1.1.16,ec:1.1.1.-,3,2
ec:1.1.1.17,ec:1.1.1.-,3,2
ec:1.1.1.18,ec:1.1.1.-,3,2
ec:1.1.1.19,ec:1.1.1.-,3,2
ec:1.1.1.20,ec:1.1.1.-,3,2
ec:1.1.1.21,ec:1.1.1.-,3,2
ec:1.1.1.22,ec:1.1.1.-,3,2
ec:1.1.1.23,ec:1.1.1.-,3,2
ec:1.1.1.24,ec:1.1.1.-,3,2
ec:1.1.1.25,ec:1.1.1.-,3,2
ec:1.1.1.26,ec:1.1.1.-,3,2
ec:1.1.1.27,ec:1.1.1.-,3,2
ec:1.1.1.28,ec:1.1.1.-,3,2
ec:1.1.1.29,ec:1.1.1.-,3,2
ec:1.1.1.30,ec:1.1.1.-,3,2
ec:1.1.1.31,ec:1.1.1.-,3,2
ec:1.1.1.34,ec:1.1.1.-,3,2
ec:1.1.1.35,ec:1.1.1.-,3,2
ec:1.1.1.36,ec:1.1.1.-,3,2
ec:1.1.1.37,ec:1.1.1.-,3,2
ec:1.1.1.38,ec:1.1.1.-,3,2
ec:1.1.1.39,ec:1.1.1.-,3,2
ec:1.1.1.40,ec:1.1.1.-,3,2
ec:1.1.1.41,ec:1.1.1.-,3,2
ec:1.1.1.42,ec:1.1.1.-,3,2
ec:1.1.1.43,ec:1.1.1.-,3,2
ec:1.1.1.44,ec:1.1.1.-,3,2
ec:1.1.1.45,ec:1.1.1.-,3,2
ec:1.1.1.46,ec:1.1.1.-,3,2
ec:1.1.1.47,ec:1.1.1.-,3,2
ec:1.1.1.48,ec:1.1.1.-,3,2
ec:1.1.1.49,ec:1.1.1.-,3,2
ec:1.1.1.50,ec:1.1.1.-,3,2
ec:1.1.1.51,ec:1.1.1.-,3,2
ec:1.1.1.52,ec:1.1.1.-,3,2
ec:1.1.1.53,ec:1.1.1.-,3,2
ec:1.1.1.54,ec:1.1.1.-,3,2
ec:1.1.1.55,ec:1.1.1.-,3,2
ec:1.1.1.56,ec:1.1.1.-,3,2
ec:1.1.1.57,ec:1.1.1.-,3,2
ec:1.1.1.58,ec:1.1.1.-,3,2
ec:1.1.1.59,ec:1.1.1.-,3,2
ec:1.1.1.60,ec:1.1.1.-,3,2
ec:1.1.1.61,ec:1.1.1.-,3,2
ec:1.1.1.62,ec:1.1.1.-,3,2
ec:1.1.1.64,ec:1.1.1.-,3,2
ec:1.1.1.65,ec:1.1.1.-,3,2
ec:1.1.1.66,ec:1.1.1.-,3,2
ec:1.1.1.67,ec:1.1.1.-,3,2
ec:1.1.1.69,ec:1.1.1.-,3,2
ec:1.1.1.71,ec:1.1.1.-,3,2
ec:1.1.1.72,ec:1.1.1.-,3,2
ec:1.1.1.73,ec:1.1.1.-,3,2
ec:1.1.1.75,ec:1.1.1.-,3,2
ec:1.1.1.76,ec:1.1.1.-,3,2
ec:1.1.1.77,ec:1.1.1.-,3,2
ec:1.1.1.78,ec:1.1.1.-,3,2
ec:1.1.1.79,ec:1.1.1.-,3,2
ec:1.1.1.80,ec:1.1.1.-,3,2
ec:1.1.1.81,ec:1.1.1.-,3,2
ec:1.1.1.82,ec:1.1.1.-,3,2
ec:1.1.1.83,ec:1.1.1.-,3,2
ec:1.1.1.84,ec:1.1.1.-,3,2
ec:1.1.1.85,ec:1.1.1.-,3,2
ec:1.1.1.86,ec:1.1.1.-,3,2
ec:1.1.1.87,ec:1.1.1.-,3,2
ec:1.1.1.88,ec:1.1.1.-,3,2
ec:1.1.1.90,ec:1.1.1.-,3,2
ec:1.1.1.91,ec:1.1.1.-,3,2
ec:1.1.1.92,ec:1.1.1.-,3,2
ec:1.1.1.93,ec:1.1.1.-,3,2
ec:1.1.1.94,ec:1.1.1.-,3,2
ec:1.1.1.95,ec:1.1.1.-,3,2
ec:1.1.1.96,ec:1.1.1.-,3,2
ec:1.1.1.97,ec:1.1.1.-,3,2
ec:1.1.1.98,ec:1.1.1.-,3,2
ec:1.1.1.99,ec:1.1.1.-,3,2
ec:1.1.1.100,ec:1.1.1.-,3,2
ec:1.1.1.101,ec:1.1.1.-,3,2
ec:1.1.1.102,ec:1.1.1.-,3,2
ec:1.1.1.103,ec:1.1.1.-,3,2
ec:1.1.1.104,ec:1.1.1.-,3,2
ec:1.1.1.105,ec:1.1.1.-,3,2
ec:1.1.1.106,ec:1.1.1.-,3,2
ec:1.1.1.107,ec:1.1.1.-,3,2
ec:1.1.1.108,ec:1.1.1.-,3,2
ec:1.1.1.110,ec:1.1.1.-,3,2
ec:1.1.1.111,ec:1.1.1.-,3,2
ec:1.1.1.112,ec:1.1.1.-,3,2
ec:1.1.1.113,ec:1.1.1.-,3,2
ec:1.1.1.114,ec:1.1.1.-,3,2
ec:1.1.1.115,ec:1.1.1.-,3,2
ec:1.1.1.116,ec:1.1.1.-,3,2
ec:1.1.1.117,ec:1.1.1.-,3,2
ec:1.1.1.118,ec:1.1.1.-,3,2
ec:1.1.1.119,ec:1.1.1.-,3,2
ec:1.1.1.120,ec:1.1.1.-,3,2
ec:1.1.1.121,ec:1.1.1.-,3,2
ec:1.1.1.122,ec:1.1.1.-,3,2
ec:1.1.1.123,ec:1.1.1.-,3,2
ec:1.1.1.124,ec:1.1.1.-,3,2
ec:1.1.1.125,ec:1.1.1.-,3,2
ec:1.1.1.126,ec:1.1.1.-,3,2
ec:1.1.1.127,ec:1.1.1.-,3,2
ec:1.1.1.129,ec:1.1.1.-,3,2
ec:1.1.1.130,ec:1.1.1.-,3,2
ec:1.1.1.131,ec:1.1.1.-,3,2
ec:1.1.1.132,ec:1.1.1.-,3,2
ec:1.1.1.133,ec:1.1.1.-,3,2
ec:1.1.1.134,ec:1.1.1.-,3,2
ec:1.1.1.135,ec:1.1.1.-,3,2
ec:1.1.1.136,ec:1.1.1.-,3,2
ec:1.1.1.137,ec:1.1.1.-,3,2
ec:1.1.1.138,ec:1.1.1.-,3,2
ec:1.1.1.140,ec:1.1.1.-,3,2
ec:1.1.1.141,ec:1.1.1.-,3,2
ec:1.1.1.142,ec:1.1.1.-,3,2
ec:1.1.1.143,ec:1.1.1.-,3,2
ec:1.1.1.144,ec:1.1.1.-,3,2
ec:1.1.1.145,ec:1.1.1.-,3,2
ec:1.1.1.146,ec:1.1.1.-,3,2
ec:1.1.1.147,ec:1.1.1.-,3,2
ec:1.1.1.148,ec:1.1.1.-,3,2
ec:1.1.1.149,ec:1.1.1.-,3,2
ec:1.1.1.150,ec:1.1.1.-,3,2
ec:1.1.1.151,ec:1.1.1.-,3,2
ec:1.1.1.152,ec:1.1.1.-,3,2
