pathway_id,pathway_name,locus_tags,gene_count
cyanorak.role:A.1,"Amino acid biosynthesis > Aromatic amino acids family (Phe, Trp, Tyr)",PMM0107|PMM0164|PMM0224|PMM0387|PMM0537|PMM0572|PMM0613|PMM0682|PMM0952|PMM1181|PMM1297|PMM1504|PMM1577|PMM1699|PMM1705,15
cyanorak.role:A.2,"Amino acid biosynthesis > Aspartate family (Asp, Asn, Ile, Lys, Met, Thr)",PMM0222|PMM0311|PMM0408|PMM0409|PMM0642|PMM0786|PMM0821|PMM0832|PMM0877|PMM0888|PMM0959|PMM1051|PMM1084|PMM1090|PMM1280|PMM1301|PMM1500|PMM1653|PMM1654|PMM1716,20
cyanorak.role:A.3,"Amino acid biosynthesis > Glutamate family (Arg, Gln, Glu, Pro)",PMM0012|PMM0050|PMM0356|PMM0396|PMM0499|PMM0508|PMM0590|PMM0788|PMM0892|PMM0920|PMM1263|PMM1301|PMM1304|PMM1572|PMM1685|PMM1703,16
cyanorak.role:A.4,Amino acid biosynthesis > Histidine family,PMM0281|PMM0430|PMM0578|PMM0796|PMM1060|PMM1488,6
cyanorak.role:A.5,"Amino acid biosynthesis > Pyruvate family (Ala, Val, Leu)",PMM0255|PMM0256|PMM0526|PMM0774|PMM0786|PMM0878|PMM0908|PMM1066|PMM1154|PMM1167|PMM1229|PMM1298|PMM1315|PMM1332|PMM1466|PMM1527,16
cyanorak.role:A.6,"Amino acid biosynthesis > Serine family (Ser, Gly, Cys)",PMM0035|PMM0123|PMM0258|PMM0407|PMM0515|PMM0642|PMM0643|PMM0919|PMM0959|PMM1051|PMM1298|PMM1354|PMM1572|PMM1638|PMM1668|PMM1669,16
cyanorak.role:B.10,"Biosynthesis of cofactors, prosthetic groups, and carriers > Vitamins",PMM0019|PMM0024|PMM0028|PMM0036|PMM0047|PMM0052|PMM0113|PMM0170|PMM0175|PMM0184|PMM0215|PMM0245|PMM0270|PMM0287|PMM0357|PMM0358|PMM0389|PMM0433|PMM0459|PMM0483|PMM0490|PMM0495|PMM0503|PMM0523|PMM0536|PMM0591|PMM0646|PMM0768|PMM0778|PMM0830|PMM0863|PMM0879|PMM0887|PMM0907|PMM1033|PMM1069|PMM1072|PMM1093|PMM1107|PMM1160|PMM1274|PMM1275|PMM1302|PMM1316|PMM1358|PMM1461|PMM1468|PMM1469|PMM1470|PMM1471|PMM1472|PMM1525|PMM1570|PMM1581|PMM1611|PMM1646|PMM1664|PMM1690|PMM1691|PMM1692|PMM1693|PMM1694|PMM1716,63
cyanorak.role:B.11,"Biosynthesis of cofactors, prosthetic groups, and carriers > Other",PMM0073|PMM0257|PMM0264|PMM0415|PMM0454|PMM0487|PMM0676|PMM0932|PMM1142|PMM1460,10
cyanorak.role:B.2,"Biosynthesis of cofactors, prosthetic groups, and carriers > Plastoquinone, menaquinone and ubiquinone",PMM0173|PMM0174|PMM0175|PMM0176|PMM0177|PMM0431|PMM0456|PMM0607|PMM0608|PMM0618|PMM0834|PMM1017|PMM1505|PMM1676,14
cyanorak.role:B.5,cyanorak.role:B.5,PMM0061|PMM0113|PMM0115|PMM0143|PMM0144|PMM0148|PMM0168|PMM0215|PMM0280|PMM0288|PMM0339|PMM0428|PMM0447|PMM0448|PMM0483|PMM0495|PMM0503|PMM0520|PMM0525|PMM0542|PMM0543|PMM0544|PMM0545|PMM0583|PMM0633|PMM0634|PMM0747|PMM0760|PMM0768|PMM0831|PMM0844|PMM0865|PMM0881|PMM0924|PMM1055|PMM1064|PMM1070|PMM1106|PMM1115|PMM1268|PMM1311|PMM1566|PMM1582|PMM1583|PMM1592|PMM1593|PMM1594|PMM1698|PMM1723,49
cyanorak.role:B.6,"Biosynthesis of cofactors, prosthetic groups, and carriers > Pyridine nucleotides (NAD, NADP)",PMM0100|PMM0156|PMM0188|PMM0678|PMM1145|PMM1146|PMM1147|PMM1445|PMM1446,9
cyanorak.role:B.7,"Biosynthesis of cofactors, prosthetic groups, and carriers > Riboflavin, FMN and FAD",PMM0105|PMM0442|PMM0893|PMM1265|PMM1273|PMM1643,6
cyanorak.role:B.9,"Biosynthesis of cofactors, prosthetic groups, and carriers > Thioredoxin, glutaredoxin and glutathione",PMM0110|PMM0178|PMM0179|PMM0211|PMM0566|PMM0567|PMM0615|PMM0630|PMM0661|PMM0794|PMM1006|PMM1111|PMM1150|PMM1172|PMM1576|PMM1685,16
cyanorak.role:C.2,Cell envelope > Murein sacculus and peptidoglycan,PMM0021|PMM0022|PMM0040|PMM0197|PMM0241|PMM0261|PMM0413|PMM0427|PMM0518|PMM0610|PMM0611|PMM0616|PMM0617|PMM0761|PMM0885|PMM0956|PMM1227|PMM1300|PMM1364|PMM1709,20
cyanorak.role:C.3,Cell envelope > Surface polysaccharides and lipopolysaccharides,PMM0059|PMM0330|PMM0397|PMM0563|PMM0611|PMM0787|PMM0798|PMM1085|PMM1177|PMM1178|PMM1196|PMM1197|PMM1201|PMM1203|PMM1204|PMM1208|PMM1210|PMM1211|PMM1214|PMM1220|PMM1222|PMM1224|PMM1233|PMM1334|PMM1337|PMM1522|PMM1659|PMM1666,28
