child_id,parent_id,child_level,parent_level
go:0032102,go:0048585,5,4
go:0032102,go:0032101,5,4
go:0071072,go:1903726,8,7
go:0071072,go:0071071,8,7
go:0071072,go:0051055,8,7
go:0009853,go:0043094,5,4
go:0009407,go:0098754,2,1
go:0009407,go:0009404,2,4
go:0009407,go:0009056,2,3
go:0015816,go:0071705,5,4
go:0015816,go:0046942,5,5
go:0015816,go:0015804,5,5
go:0015816,go:0015695,5,4
go:0032265,go:0106380,8,7
go:0032265,go:0097293,8,7
go:0030149,go:0016042,5,4
go:0030149,go:0006665,5,5
go:0010109,go:0019222,5,4
go:0018149,go:0036211,6,5
go:0042941,go:1905039,4,3
go:0042941,go:0042940,4,5
go:0042941,go:0032328,4,5
go:0042941,go:0003333,4,3
go:0016114,go:0008299,6,5
go:0016114,go:0006721,6,6
go:0030203,go:0006022,5,4
go:0010106,go:0009267,5,4
go:0010106,go:0006879,5,4
go:0015819,go:1902022,6,5
go:0015819,go:0015802,6,5
go:0006421,go:0006418,7,6
go:0098754,go:0009636,1,3
go:0098754,go:0008150,1,0
go:0015891,go:1901678,10,9
go:0045851,go:0006885,3,2
go:0005987,go:0046352,7,6
go:0005987,go:0005985,7,7
go:0006996,go:0016043,4,3
go:0006121,go:0019646,7,6
go:0006121,go:0042775,7,7
go:0006863,go:0015851,6,5
go:0006782,go:0006783,6,5
go:0006782,go:0046501,6,5
go:0006782,go:0006779,6,5
go:0034628,go:0170039,6,5
go:0034628,go:0170033,6,6
go:0034628,go:0009435,6,6
go:0034628,go:0006531,6,6
go:0018874,go:0042537,4,3
go:0018874,go:0032787,4,7
go:0043158,go:0048869,3,2
go:0070930,go:0072344,8,7
go:0046398,go:0019752,5,6
go:0046398,go:0009225,5,4
go:0022611,go:0032502,2,1
go:0010350,go:0009267,5,4
go:0044179,go:0051715,4,3
go:0018194,go:0018193,7,6
go:0009147,go:0009141,7,6
go:0097173,go:0097172,7,7
go:0097173,go:0046395,7,6
go:0140467,go:0141124,4,4
go:0140467,go:0033554,4,3
go:0006580,go:0034308,4,5
go:0006580,go:0009308,4,3
go:0021700,go:0032502,2,1
go:0045833,go:0019216,6,6
go:0045833,go:0009892,6,5
go:0000375,go:0008380,6,5
go:0071824,go:0043933,5,4
go:0032543,go:0006412,6,5
go:0032543,go:0140053,6,6
go:0045490,go:0045488,6,5
go:0045490,go:0000272,6,5
go:0006639,go:0046486,6,5
go:0006639,go:0006638,6,5
go:0045860,go:0045859,6,6
go:0045860,go:0033674,6,5
go:0045860,go:0001934,6,8
go:0034194,go:0019584,5,9
go:0034194,go:0016052,5,4
go:0140115,go:0140352,3,2
go:0140115,go:0055085,3,2
go:0035435,go:0055085,3,2
go:0035435,go:0006817,3,5
go:1990169,go:0097501,4,3
go:1990169,go:0046688,4,4
go:0019752,go:0043436,6,5
go:0001522,go:0009451,6,5
go:0009151,go:0009394,5,5
go:0009151,go:0006163,5,4
go:0060567,go:0045892,7,9
go:0060567,go:0043242,7,6
go:0060567,go:0031554,7,6
go:0032264,go:0106380,8,7
go:0032264,go:0006188,8,7
go:0015821,go:0015695,5,4
go:0015821,go:0006865,5,4
go:0015821,go:0000101,5,5
go:0045733,go:0072329,8,7
go:0045733,go:0006083,8,8
go:0006813,go:0030001,7,6
go:0009253,go:0006027,7,6
go:0009253,go:0000270,7,6
go:0045723,go:0046889,8,7
go:0045723,go:0045923,8,7
go:0045723,go:0042304,8,7
go:0006235,go:0046075,7,6
go:0006235,go:0009221,7,6
go:0006235,go:0009212,7,8
go:0009123,go:0006753,6,5
go:0006438,go:0006418,7,6
go:0042930,go:0015891,5,10
go:0042930,go:0015850,5,4
go:0042930,go:0015711,5,4
go:0045912,go:0009892,6,5
go:0045912,go:0006109,6,6
go:0071500,go:0062197,4,4
go:0071500,go:0051409,4,3
go:2001023,go:0048583,4,3
go:0006401,go:0141188,6,5
go:0006401,go:0016070,6,5
go:0070475,go:0031167,7,6
go:0006577,go:0006575,4,3
go:0006274,go:0006259,6,5
go:0006274,go:0006261,6,7
go:0006828,go:0000041,8,7
go:0006024,go:0030203,6,5
go:0006024,go:0006023,6,5
go:0042214,go:0120252,4,3
go:0042214,go:0006720,4,5
go:0007164,go:0009653,3,2
go:0042542,go:0000302,5,4
go:0070189,go:1901605,4,5
go:0070189,go:0170041,4,5
go:0070189,go:0042537,4,3
go:0070189,go:0042180,4,3
go:0015701,go:0015711,5,4
go:0071554,go:0009987,2,1
go:0006616,go:0065002,5,4
go:0006616,go:0006614,5,6
go:0044650,go:0044406,5,4
go:0006846,go:0015718,7,6
go:0042875,go:0042873,4,4
go:0042875,go:0034219,4,3
go:0009409,go:0009266,3,3
go:0009409,go:0006950,3,2
go:0046854,go:0006661,8,7
go:0042727,go:0042726,4,3
go:0042727,go:0009058,4,3
go:0009785,go:0071483,5,6
go:0009785,go:0030522,5,4
go:0016259,go:1901605,6,5
go:0019878,go:0009085,8,7
go:0015865,go:0006862,6,5
go:0018205,go:0018193,7,6
go:0006212,go:0019860,6,5
go:0006212,go:0006208,6,5
go:1902328,go:1902292,4,3
go:1902328,go:0044787,4,4
go:0034220,go:0055085,3,2
go:0034220,go:0006811,3,4
go:0046685,go:0042221,3,2
go:0006534,go:1901605,5,5
go:0006534,go:0000096,5,4
go:0071292,go:0071248,5,4
go:0071292,go:0010272,5,4
go:0043201,go:1901700,4,3
go:0043201,go:1901698,4,3
go:0043201,go:0043200,4,4
go:0009851,go:0042446,5,4
go:0009851,go:0009850,5,4
go:0000377,go:0000375,7,6
go:0002940,go:0030488,7,6
go:0019665,go:0009063,5,4
go:0019665,go:0006113,5,5
go:0019686,go:0042278,5,4
go:0019686,go:0015949,5,5
go:0034312,go:0046173,7,6
go:0034312,go:0034311,7,6
go:0009251,go:0044042,6,5
go:0009251,go:0000272,6,5
go:0042776,go:0015986,8,8
go:0042776,go:0006119,8,7
go:0010138,go:0032262,7,6
go:0010138,go:0009220,7,6
go:0018335,go:0043543,7,6
go:0019637,go:0006793,4,3
go:1904823,go:0072530,4,3
go:1904823,go:0006863,4,6
go:0046385,go:1901137,5,4
