child_id,parent_id,child_level,parent_level
cyanorak.role:0.4,cyanorak.role:0,1,0
cyanorak.role:0.3,cyanorak.role:0,1,0
cyanorak.role:0.2,cyanorak.role:0,1,0
cyanorak.role:0.1,cyanorak.role:0,1,0
cyanorak.role:A.7,cyanorak.role:A,1,0
cyanorak.role:A.6,cyanorak.role:A,1,0
cyanorak.role:A.5,cyanorak.role:A,1,0
cyanorak.role:A.4,cyanorak.role:A,1,0
cyanorak.role:A.3,cyanorak.role:A,1,0
cyanorak.role:A.2,cyanorak.role:A,1,0
cyanorak.role:A.1,cyanorak.role:A,1,0
cyanorak.role:B.9,cyanorak.role:B,1,0
cyanorak.role:B.8,cyanorak.role:B,1,0
cyanorak.role:B.7,cyanorak.role:B,1,0
cyanorak.role:B.6,cyanorak.role:B,1,0
cyanorak.role:B.5,cyanorak.role:B,1,0
cyanorak.role:B.4,cyanorak.role:B,1,0
cyanorak.role:B.3,cyanorak.role:B,1,0
cyanorak.role:B.2,cyanorak.role:B,1,0
cyanorak.role:B.11,cyanorak.role:B,1,0
cyanorak.role:B.10,cyanorak.role:B,1,0
cyanorak.role:B.1,cyanorak.role:B,1,0
cyanorak.role:B.10.5,cyanorak.role:B.10,2,1
cyanorak.role:B.10.4,cyanorak.role:B.10,2,1
cyanorak.role:B.10.3,cyanorak.role:B.10,2,1
cyanorak.role:B.10.2,cyanorak.role:B.10,2,1
cyanorak.role:B.10.1,cyanorak.role:B.10,2,1
cyanorak.role:B.5.3,cyanorak.role:B.5,2,1
cyanorak.role:B.5.2,cyanorak.role:B.5,2,1
cyanorak.role:B.5.1,cyanorak.role:B.5,2,1
cyanorak.role:C.5,cyanorak.role:C,1,0
cyanorak.role:C.4,cyanorak.role:C,1,0
cyanorak.role:C.3,cyanorak.role:C,1,0
cyanorak.role:C.2,cyanorak.role:C,1,0
cyanorak.role:C.1,cyanorak.role:C,1,0
cyanorak.role:D.9,cyanorak.role:D,1,0
cyanorak.role:D.8,cyanorak.role:D,1,0
cyanorak.role:D.7,cyanorak.role:D,1,0
cyanorak.role:D.6,cyanorak.role:D,1,0
cyanorak.role:D.5,cyanorak.role:D,1,0
