ontology,genome_coverage,n_annotated,n_universe,level,n_terms_with_genes,min_genes,q1_genes,median_genes,q3_genes,max_genes,n_genes_at_level
cog_category,0.9315508021390374,1742,1870,,,,,,,,
cyanorak_role,0.7839572192513369,1466,1870,0.0,19.0,1.0,40.0,70.0,121.0,384.0,1466.0
cyanorak_role,0.7770053475935829,1466,1870,1.0,109.0,1.0,3.0,9.0,16.0,308.0,1453.0
cyanorak_role,0.18235294117647058,1466,1870,2.0,26.0,1.0,5.25,11.5,25.0,51.0,341.0
ec,0.44224598930481285,827,1870,0.0,7.0,55.0,66.0,80.0,167.5,294.0,827.0
ec,0.43155080213903746,827,1870,1.0,61.0,1.0,3.0,7.0,20.0,91.0,807.0
ec,0.4176470588235294,827,1870,2.0,143.0,1.0,2.0,3.0,8.0,48.0,781.0
ec,0.3786096256684492,827,1870,3.0,649.0,1.0,1.0,1.0,1.0,16.0,708.0
go_bp,0.5983957219251337,1119,1870,0.0,1.0,1119.0,1119.0,1119.0,1119.0,1119.0,1119.0
go_bp,0.5962566844919787,1119,1870,1.0,11.0,1.0,5.5,7.0,105.5,1035.0,1115.0
go_bp,0.5962566844919787,1119,1870,2.0,40.0,1.0,3.0,8.0,25.75,911.0,1115.0
go_bp,0.5705882352941176,1119,1870,3.0,121.0,1.0,1.0,5.0,17.0,635.0,1067.0
go_bp,0.5240641711229946,1119,1870,4.0,237.0,1.0,1.0,4.0,13.0,187.0,980.0
go_bp,0.4716577540106952,1119,1870,5.0,275.0,1.0,1.0,3.0,8.0,101.0,882.0
go_bp,0.3,1119,1870,6.0,262.0,1.0,1.0,2.0,4.75,52.0,561.0
go_bp,0.16844919786096257,1119,1870,7.0,177.0,1.0,1.0,1.0,3.0,41.0,315.0
go_bp,0.07433155080213903,1119,1870,8.0,55.0,1.0,1.0,1.0,3.0,35.0,139.0
go_bp,0.0058823529411764705,1119,1870,9.0,10.0,1.0,1.0,1.0,1.0,4.0,11.0
go_bp,0.0005347593582887701,1119,1870,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
go_bp,0.0,1119,1870,11.0,0.0,,,,,,0.0
go_cc,0.42620320855614974,797,1870,0.0,1.0,797.0,797.0,797.0,797.0,797.0,797.0
go_cc,0.42406417112299466,797,1870,1.0,2.0,256.0,384.75,513.5,642.25,771.0,793.0
go_cc,0.42406417112299466,797,1870,2.0,40.0,1.0,1.0,4.0,33.0,333.0,793.0
go_cc,0.20588235294117646,797,1870,3.0,81.0,1.0,1.0,2.0,7.0,115.0,385.0
go_cc,0.11176470588235295,797,1870,4.0,42.0,1.0,1.0,2.0,4.0,44.0,209.0
go_cc,0.03689839572192513,797,1870,5.0,10.0,1.0,1.25,2.5,11.0,24.0,69.0
go_cc,0.006951871657754011,797,1870,6.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0
go_mf,0.6411764705882353,1199,1870,0.0,1.0,1199.0,1199.0,1199.0,1199.0,1199.0,1199.0
go_mf,0.6390374331550802,1199,1870,1.0,15.0,1.0,8.0,17.0,91.5,909.0,1195.0
go_mf,0.6336898395721925,1199,1870,2.0,70.0,1.0,1.0,4.5,27.25,562.0,1185.0
go_mf,0.5983957219251337,1199,1870,3.0,177.0,1.0,1.0,3.0,12.0,299.0,1119.0
go_mf,0.532620320855615,1199,1870,4.0,272.0,1.0,1.0,2.0,5.0,222.0,996.0
go_mf,0.38823529411764707,1199,1870,5.0,432.0,1.0,1.0,1.0,2.0,221.0,726.0
go_mf,0.15508021390374332,1199,1870,6.0,156.0,1.0,1.0,1.0,1.25,73.0,290.0
go_mf,0.0679144385026738,1199,1870,7.0,45.0,1.0,1.0,1.0,2.0,42.0,127.0
go_mf,0.0042780748663101605,1199,1870,8.0,8.0,1.0,1.0,1.0,1.25,2.0,8.0
go_mf,0.0,1199,1870,9.0,0.0,,,,,,0.0
kegg,0.4090909090909091,1065,1870,0.0,6.0,33.0,49.0,66.5,141.0,538.0,765.0
kegg,0.4090909090909091,1065,1870,1.0,38.0,1.0,5.0,14.5,37.25,164.0,765.0
kegg,0.4090909090909091,1065,1870,2.0,213.0,1.0,1.0,4.0,12.0,519.0,765.0
kegg,0.4090909090909091,1065,1870,3.0,722.0,1.0,1.0,1.0,1.0,4.0,765.0
pfam,0.7957219251336899,1488,1870,,,,,,,,
tigr_role,0.9224598930481284,1725,1870,,,,,,,,
