locus_tag,gene_name,experiment_id,treatment_type,timepoint,timepoint_hours,timepoint_order,log2fc,padj,rank,rank_up,rank_down,expression_status,growth_phase,product,experiment_name,treatment,gene_category,omics_type,coculture_partner,table_scope,table_scope_detail,background_factors,axis,role,kg_evidence
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 89,2136.0,4,3.29939047495524,2.18119662069137e-08,11,8.0,,significant_up,nutrient_limited,nitrogen regulatory protein P-II,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Stress response and adaptation,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:D.1.3+E.4
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 60,1440.0,3,2.99547640482585,8.73053906243799e-08,11,10.0,,significant_up,nutrient_limited,nitrogen regulatory protein P-II,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Stress response and adaptation,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:D.1.3+E.4
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 31,744.0,2,2.94569333394369,0.0002552188126797,11,9.0,,significant_up,nutrient_limited,"glutamine synthetase, type I",MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Amino acid metabolism,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:E.4
PMM0400,lrtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 31,744.0,2,-2.85004679361979,0.0001522198467909,12,,3.0,significant_down,nutrient_limited,light repressed protein A,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Translation,PROTEOMICS,,all_detected_genes,,coculture | light,cell_death,positive,canonical_literature_marker
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 60,1440.0,3,2.57054074605306,0.0008445127487147,23,19.0,,significant_up,nutrient_limited,"glutamine synthetase, type I",MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Amino acid metabolism,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:E.4
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 18,432.0,1,2.55111503601075,0.003589909898748,5,5.0,,significant_up,nutrient_limited,"glutamine synthetase, type I",MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Amino acid metabolism,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:E.4
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 60,1440.0,3,2.47993787129721,0.0003837689990325,27,22.0,,significant_up,nutrient_limited,"ABC-type urea transporter, substrate binding component",MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Stress response and adaptation,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:D.1.3+E.4
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 89,2136.0,4,2.47821776072185,0.0003241404879615,30,24.0,,significant_up,nutrient_limited,"ABC-type urea transporter, substrate binding component",MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Stress response and adaptation,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:D.1.3+E.4
PMM1157,psbD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 31,744.0,2,-2.3471876780192,8.01644774392301e-06,19,,5.0,significant_down,nutrient_limited,photosystem II D2 protein,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Photosynthesis,PROTEOMICS,,all_detected_genes,,coculture | light,photo,positive,cyanorak:J.8+go:0009769
PMM0263,amt1,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 60,1440.0,3,2.33147939046224,1.15026184011279e-08,29,23.0,,significant_up,nutrient_limited,ammonium transporter,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Central intermediary metabolism,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:E.4
PMM0263,amt1,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen,day 89,2136.0,4,2.28471151987712,7.73086142216315e-09,41,31.0,,significant_up,nutrient_limited,ammonium transporter,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,Central intermediary metabolism,PROTEOMICS,,all_detected_genes,,coculture | light,n_stress,positive,cyanorak:E.4
