locus_tag,gene_name,axis,role,n_de_rows,n_significant,max_abs_log2fc,max_log2fc,min_log2fc,n_rows_with_log2fc
PMM0191,spoT,cell_death,positive,12,2,2.0929413213598576,2.0929413213598576,-1.06395276387533,12
PMM0400,lrtA,cell_death,positive,12,10,3.29790524884044,-0.4859405538802832,-3.29790524884044,12
PMM1171,isiB,cell_death,positive,12,4,2.5795511317017072,0.151389122009274,-2.5795511317017072,12
PMM0246,ntcA,n_stress,positive,12,9,3.58713213602702,3.58713213602702,-2.0842747712258936,12
PMM0263,amt1,n_stress,positive,12,6,3.8635086439112745,3.8635086439112745,-1.5390575528420043,12
PMM0920,glnA,n_stress,positive,12,9,3.3569768863566645,3.3569768863566645,-2.173486157594152,12
PMM0970,urtA,n_stress,positive,12,7,2.6694942279740563,2.6694942279740563,-2.015510978873359,12
PMM1463,glnB,n_stress,positive,12,10,3.29939047495524,3.29939047495524,-2.578430371607697,12
PMM1451,atpA,negative,negative,12,3,4.730623112079471,1.45595900217692,-4.730623112079471,12
PMM1485,rpoB,negative,negative,12,1,1.45505491892497,1.45505491892497,-0.5946102142334,12
PMM1511,rpsL,negative,negative,12,3,2.145972322773164,0.1845439241802963,-2.145972322773164,12
PMM0079,prxQ,oxidative,positive,12,5,3.0155669449769054,0.148222605387367,-3.0155669449769054,12
PMM0567,gor,oxidative,positive,12,0,0.6566834850713477,0.540905634562175,-0.6566834850713477,12
PMM0856,ahpC,oxidative,positive,12,0,0.905608495076497,0.905608495076497,-0.379903506513828,12
PMM1061,trxA,oxidative,positive,12,1,1.24329249064128,1.24329249064128,-0.1005709907377485,12
PMM1294,sodN,oxidative,positive,12,0,0.824663480122887,0.824663480122887,-0.7074079213707525,12
PMM0064,hli,photo,positive,5,1,1.3984307443477977,-0.1531191665828478,-1.3984307443477977,5
PMM0223,psbA,photo,positive,12,7,4.0565611521403,1.7085837732335518,-4.0565611521403,12
PMM0743,ftsH2,photo,positive,12,5,3.53064664204915,1.7336387608395023,-3.53064664204915,12
PMM1157,psbD,photo,positive,12,6,4.62660725911458,1.3506799201452575,-4.62660725911458,12
PMM1404,hli,photo,positive,5,3,9.582753879264446,9.582753879264446,0.9235546501112634,5
PMM0901,htpG,proteotoxic,positive,12,1,1.9769620667661207,1.0279992784873535,-1.9769620667661207,12
PMM1432,dnaK1,proteotoxic,positive,12,0,0.7986229964249144,0.7986229964249144,-0.628361384073894,12
PMM1436,groL1,proteotoxic,positive,12,1,1.7093411456428225,0.91179879506429,-1.7093411456428225,12
PMM1437,groES,proteotoxic,positive,12,4,2.09804757436117,2.09804757436117,-0.8344096355502971,12
PMM1657,clpX,proteotoxic,positive,12,6,2.152209528170459,-0.12755616505941,-2.152209528170459,12
