genus,pooled_rows,distinct_genes,organisms,experiments
Prochlorococcus,1070,726,9,68
Alteromonas,461,320,4,35
Synechococcus,252,218,5,17
Marinobacter,227,148,1,18
Parasynechococcus,100,90,1,6
Ruegeria,80,68,1,3
Pseudomonas,40,38,1,2
Picosynechococcus,30,22,1,3
Shewanella,30,23,1,3
