experiment_id,organism,genus,omics_type,locus_tag,gene_name,product,gene_category,best_rank,direction,log2fc,padj,timepoint
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_05350,cynT,carbonic anhydrase,Inorganic ion transport,1.0,up,3.41834704081218,0.0016796518279807,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_18535,,TonB-dependent receptor,Inorganic ion transport,1.0,up,6.83469645182292,1.51352035548067e-08,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_20300,,hypothetical protein,Unknown,1.0,down,-4.74009513854981,3.11264232071312e-06,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_04245,yhiI,HlyD family secretion protein,Cell wall and membrane,2.0,down,-3.49416224161784,3.07002332556864e-08,days 60+89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_15570,plsC,1-acylglycerol-3-phosphate O-acyltransferase,Lipid metabolism,2.0,down,-3.86414591471354,0.0006721175438845,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_16310,pspA,phage shock protein PspA,Transcription,2.0,up,4.6706968943278,6.41200001586373e-07,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_17215,,FG-GAP-like repeat-containing protein,Cell wall and membrane,2.0,up,4.73836580912272,3.5644397929367102e-09,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_18755,,hypothetical protein,Unknown,2.0,down,-4.11012903849284,0.0001234581690358,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_10105,sdaA,L-serine ammonia-lyase,Amino acid metabolism,3.0,up,4.52769724527995,1.51352035548067e-08,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_10335,,c-type cytochrome,Energy production,3.0,down,-3.42085107167562,8.26800342063417e-09,days 60+89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_18505,syrP,TauD/TfdA family dioxygenase,Secondary metabolites,3.0,up,4.32325172424317,2.65485504940693e-07,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_19000,cyoB,cytochrome o ubiquinol oxidase subunit I,Energy production,3.0,down,-2.37550862630208,0.0095978586083942,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_02485,glyA,serine hydroxymethyltransferase,Amino acid metabolism,4.0,up,3.89796288808187,5.21811784959154e-08,days 60+89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_08480,,glutathione binding-like protein,Post-translational modification,4.0,up,4.28589026133219,0.0043362661426969,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_18525,yicI,glycoside hydrolase family 31 protein,Carbohydrate metabolism,4.0,up,4.12941265106201,1.40027845131026e-07,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_02170,yibQ,divergent polysaccharide deacetylase family protein,Unknown,5.0,down,-3.63133939107259,0.0009972534046495,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_05480,pspC,envelope stress response membrane protein PspC,Transcription,5.0,up,3.95065879821777,0.0001001940560816,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_06200,,YncE family protein,Unknown,5.0,up,2.29195404052734,0.0017414873845016,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_09825,,TonB-dependent receptor,Coenzyme metabolism,5.0,up,3.80790201822917,2.98352244838193e-09,days 60+89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_11825,,alkaline phosphatase PhoX,Unknown,5.0,down,-3.21828587849935,0.0004319926536654,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_15335,gltB,glutamate synthase large subunit,Amino acid metabolism,5.0,down,-2.1834545135498,0.0003921848320684,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_10365,ccoN,"cytochrome-c oxidase, cbb3-type subunit I",Energy production,6.0,down,-3.35809834798177,5.13924005032503e-06,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_17190,,glycosyltransferase family 32 protein,Cell wall and membrane,1.0,down,-4.61417802174886,1.61404235700484e-08,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_19860,atpE,F0F1 ATP synthase subunit C,Energy production,1.0,up,5.87598133087158,2.48760695798673e-07,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_00265,rpmB,50S ribosomal protein L28,Translation,2.0,down,-4.10255018870036,0.0048908630063901,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_15955,,porin family protein,Cell wall and membrane,2.0,up,5.2395035425822,2.28512249994738e-06,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_00050,yihI,Der GTPase-activating protein YihI,Unknown,3.0,down,-3.59957408905029,3.02476801168414e-06,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_02460,,TonB-dependent receptor,Inorganic ion transport,3.0,up,4.84160772959391,7.360258216399491e-09,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_11930,,ExeM/NucH family extracellular endonuclease,Replication and repair,4.0,up,4.81805578867595,3.25515583914736e-08,day 31
