organism,pooled_rows,distinct_genes,experiments
Prochlorococcus MED4,524,295,34
Marinobacter (MarRef v6),227,148,18
Alteromonas macleodii EZ55,215,131,10
Prochlorococcus MIT9313,176,133,10
Prochlorococcus NATL2A,140,108,9
Synechococcus WH7803,128,111,8
Alteromonas macleodii HOT1A3,115,104,7
Synechococcus WH8102,100,90,6
Prochlorococcus MIT9312,88,56,5
Ruegeria pomeroyi DSS-3,80,68,3
Alteromonas (MarRef v6),75,37,14
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),68,60,6
Alteromonas macleodii MIT1002,56,48,4
Synechococcus sp. BL107,42,26,4
Pseudomonas putida KT2440,40,38,2
Synechococcus elongatus PCC 7942,40,40,2
Synechococcus elongatus UTEX 2973,30,29,2
Synechococcus PCC 7002,30,22,3
Shewanella sp. W3-18-1,30,23,3
Prochlorococcus AS9601,20,20,1
Prochlorococcus MIT9301,20,20,1
Prochlorococcus NATL1A,20,20,1
Prochlorococcus MIT9303,14,14,1
Synechococcus CC9311,12,12,1
