,regulation,assimilation_core,ammonium_uptake,urea_uptake,urease,cyanate,nitrate_nitrite,mo_cofactor,met_biosynthesis,other
Pro HLI (n=2),0.4,0.75,0.3333333333333333,0.7142857142857143,0.7,0.375,0.0,0.1111111111111111,0.8,0.3333333333333333
Pro HLII (n=3),0.4666666666666666,0.75,0.3333333333333333,0.7142857142857143,0.6999999999999998,0.0,0.0,0.1111111111111111,0.8000000000000002,0.3333333333333333
Pro LLI (n=3),0.4000000000000001,0.75,0.3333333333333333,0.7142857142857143,0.6999999999999998,0.125,0.2857142857142857,0.1111111111111111,0.8000000000000002,0.6666666666666666
"Pro LLII (n=1, SS120)",0.4,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.8,0.3333333333333333
Pro LLIV (n=2),0.6,0.75,0.3333333333333333,0.7142857142857143,0.7,0.0,0.2857142857142857,0.1111111111111111,0.8,0.3333333333333333
Marine Syn (n=4),0.6000000000000001,0.875,0.41666666666666663,0.5714285714285715,0.5249999999999999,0.3125,0.6785714285714286,0.9166666666666666,1.0,0.08333333333333333
Non-marine Syn (n=3),1.0,1.0,0.3333333333333333,0.19047619047619047,0.2333333333333333,0.3333333333333333,0.5238095238095238,0.5925925925925927,0.4666666666666666,0.0
"Thermosyn (n=1, BP-1)",0.6,0.75,0.3333333333333333,0.7142857142857143,0.7,0.0,0.42857142857142855,0.5555555555555556,0.2,0.0
