strain,regulation,assimilation_core,ammonium_uptake,urea_uptake,urease,cyanate,nitrate_nitrite,mo_cofactor,met_biosynthesis,other
Prochlorococcus AS9601,2,3,1,5,7,0,0,1,4,1
Prochlorococcus MED4,2,3,1,5,7,4,0,1,4,1
Prochlorococcus MIT0801,2,3,1,5,7,1,2,1,4,2
Prochlorococcus MIT9301,3,3,1,5,7,0,0,1,4,1
Prochlorococcus MIT9303,3,3,1,5,7,0,2,1,4,1
Prochlorococcus MIT9312,2,3,1,5,7,0,0,1,4,1
Prochlorococcus MIT9313,3,3,1,5,7,0,2,1,4,1
Prochlorococcus NATL1A,2,3,1,5,7,1,2,1,4,2
Prochlorococcus NATL2A,2,3,1,5,7,1,2,1,4,2
Prochlorococcus RSP50,2,3,1,5,7,2,0,1,4,1
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),2,3,1,0,0,0,0,1,4,1
Synechococcus WH8102,4,3,1,5,7,4,4,8,5,0
Synechococcus WH7803,2,4,1,1,0,2,5,8,5,0
Synechococcus CC9311,3,4,2,5,7,2,5,9,5,1
Synechococcus sp. BL107,3,3,1,5,7,2,5,8,5,0
Synechococcus PCC 7002,5,4,1,4,7,2,5,6,1,0
Synechococcus elongatus PCC 7942,5,4,1,0,0,3,3,5,3,0
Synechococcus elongatus UTEX 2973,5,4,1,0,0,3,3,5,3,0
Thermosynechococcus vestitus BP-1,3,3,1,5,7,0,3,5,1,0
