cluster_a,cluster_b,distance,size
0.0,5.0,0.0,2.0
2.0,7.0,0.0,2.0
8.0,20.0,0.0,3.0
16.0,17.0,0.0,2.0
3.0,19.0,0.04,3.0
1.0,9.0,0.07142857142857142,2.0
4.0,6.0,0.07142857142857142,2.0
23.0,24.0,0.12051422396249982,5.0
21.0,26.0,0.17033529318290164,8.0
13.0,14.0,0.17777777777777778,2.0
11.0,28.0,0.23376623376623376,3.0
15.0,18.0,0.25,2.0
29.0,30.0,0.32701292707920493,5.0
25.0,27.0,0.3633985302332076,10.0
12.0,22.0,0.42424242424242425,3.0
31.0,33.0,0.5034618281705128,8.0
10.0,32.0,0.5558461538461539,11.0
34.0,35.0,0.6238073908854089,19.0
