locus_tag,gene_name,experiment_id,treatment_type,timepoint,timepoint_hours,timepoint_order,log2fc,padj,rank,rank_up,rank_down,expression_status
PMM0373,cynS,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-13.42534705,0.0,6,,6.0,significant_down
PMM0974,urtE,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-13.19859851,0.0,9,,9.0,significant_down
PMM0246,ntcA,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.45172627,0.0,101,,100.0,significant_down
PMM0393,pipX,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.03686045,0.0,140,,138.0,significant_down
PMM0687,,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.03686045,0.0,141,,139.0,significant_down
PMM0958,,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-10.64475759,0.0,193,,190.0,significant_down
PMM1462,,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-10.23002044,1.0,248,,,not_significant
PMM0958,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,6.01862436906552,0.01,1,1.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,5.739882511894883,1.5179555296357305e-06,14,7.0,,significant_up
PMM0370,cynA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,5.7284866494887,0.01,2,2.0,,significant_up
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,5.61782354744158,0.01,3,3.0,,significant_up
PMM0970,urtA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,5.37087883412763,0.01,4,4.0,,significant_up
PMM0371,cynB,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-5.233951827,1.22e-28,512,,219.0,significant_down
PMM0370,cynA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,5.158630264411528,6.899092611446335e-10,29,10.0,,significant_up
PMM0920,glnA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,5.06051169137151,0.01,5,5.0,,significant_up
PMM0958,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,4.82035296700195,0.01,1,1.0,,significant_up
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,4.72778318305637,0.01,2,2.0,,significant_up
PMM0373,cynS,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,4.67224407196045,4.39843390012992e-09,1,1.0,,significant_up
PMM0958,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,4.65281152432864,0.01,2,1.0,,significant_up
PMM0963,ureC,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-4.630077859,3.32e-13,523,,228.0,significant_down
PMM0370,cynA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,4.58350176619516,0.01,3,2.0,,significant_up
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,4.45086478182776,0.01,7,6.0,,significant_up
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,4.36724547784196,0.01,7,3.0,,significant_up
PMM0370,cynA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,4.30854281269086,0.01,3,3.0,,significant_up
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,4.279566443092617,2.9550592954568683e-10,70,27.0,,significant_up
PMM0373,cynS,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,4.21590280532837,1.56101293251994e-08,1,1.0,,significant_up
PMM0920,glnA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,4.14177961834331,0.01,9,4.0,,significant_up
PMM0970,urtA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,4.07,0.0,24,12.0,,significant_up
PMM0687,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,4.0674889457570345,1.6181082973453386e-08,81,32.0,,significant_up
PMM0370,cynA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,4.06454932416169,0.01,3,1.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,4.043240719284284,0.0198226570182783,5,5.0,,significant_up
PMM0958,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,4.00909578350767,0.01,8,4.0,,significant_up
PMM0920,glnA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,3.92174594063168,0.01,4,2.0,,significant_up
PMM0370,cynA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,3.91380620805672,0.01,13,6.0,,significant_up
PMM0970,urtA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,3.90870782237566,0.01,4,4.0,,significant_up
PMM0370,cynA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.88954957326254,1.42181266474037e-05,4,4.0,,significant_up
PMM0370,cynA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.87599738438924,9.0724264127587e-07,2,2.0,,significant_up
PMM0970,urtA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,3.86942338221993,0.01,5,3.0,,significant_up
PMM0263,amt1,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,3.8635086439112745,7.801311428232697e-10,95,38.0,,significant_up
PMM0370,cynA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,3.86244519551595,1.82436136679271e-05,2,2.0,,significant_up
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,3.85155137624459,0.01,8,7.0,,significant_up
PMM0370,cynA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,3.85,0.0,27,14.0,,significant_up
PMM0370,cynA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,3.84,0.0,31,14.0,,significant_up
PMM0970,urtA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,3.8347661783105,0.01,16,7.0,,significant_up
PMM0920,glnA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,3.79888923224975,0.01,18,8.0,,significant_up
PMM0920,glnA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,3.75973171772578,0.01,5,5.0,,significant_up
PMM0373,cynS,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,3.75956153869629,4.32926012138538e-08,4,3.0,,significant_up
PMM0970,urtA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,3.75015994971883,0.01,13,7.0,,significant_up
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-3.676757158162384,0.0015808047796623,17,,6.0,significant_down
