locus_tag,gene_name,experiment_id,treatment_type,timepoint,timepoint_hours,timepoint_order,log2fc,padj,rank,rank_up,rank_down,expression_status,tier
PMM0246,ntcA,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.45172627,0.0,101,,100.0,significant_down,Tier2_N+coculture
PMM0393,pipX,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.03686045,0.0,140,,138.0,significant_down,Tier2_N+coculture
PMM0687,,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-11.03686045,0.0,141,,139.0,significant_down,Tier2_N+coculture
PMM1462,,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-10.23002044,1.0,248,,,not_significant,Tier1_N-specific
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,5.61782354744158,0.01,3,3.0,,significant_up,Tier1_N-specific
PMM0371,cynB,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-5.233951827,1.22e-28,512,,219.0,significant_down,Tier2_N+coculture
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,4.72778318305637,0.01,2,2.0,,significant_up,Tier1_N-specific
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,4.45086478182776,0.01,7,6.0,,significant_up,Tier2_N+coculture
PMM1462,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,4.36724547784196,0.01,7,3.0,,significant_up,Tier1_N-specific
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,4.279566443092617,2.9550592954568683e-10,70,27.0,,significant_up,Tier2_N+coculture
PMM0687,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,4.0674889457570345,1.6181082973453386e-08,81,32.0,,significant_up,Tier2_N+coculture
PMM0687,,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,3.85155137624459,0.01,8,7.0,,significant_up,Tier2_N+coculture
PMM1462,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-3.676757158162384,0.0015808047796623,17,,6.0,significant_down,Tier1_N-specific
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,3.6510575612386,1.93750018709816e-05,5,4.0,,significant_up,Tier2_N+coculture
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,3.58713213602702,2.48270602762731e-07,28,4.0,,significant_up,Tier2_N+coculture
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,3.56736389795939,1.8408903718366e-06,3,3.0,,significant_up,Tier2_N+coculture
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.48367023468017,2.56189562285053e-05,6,6.0,,significant_up,Tier2_N+coculture
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,3.352117316421244,1.0044699427936916e-05,141,57.0,,significant_up,Tier2_N+coculture
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,3.29939047495524,2.18119662069137e-08,11,8.0,,significant_up,Tier1_N-specific
